campaign_id,advertiser_name,agency_name,industry_vertical,campaign_objective,buy_type,sale_type,contract_status,contract_value_usd,budget_usd,campaign_start_date,campaign_end_date,ad_play_date,ad_play_month,ad_play_quarter,ad_play_year,network,media_type,show_title,genre,content_rating,daypart,ad_format,device_type,ad_duration_seconds,is_sponsorship,state,dma_region,viewer_age_range,viewer_gender,viewer_income_bracket,viewer_interest,subscription_tier,opt_in_ads,days_active_30d,approved_impressions,impressions_delivered,delivery_rate_pct,clicks,ctr_pct,conversions,conversion_rate_pct,completion_rate_pct,viewability_pct,frequency_count,ad_cost_usd,ad_revenue_usd,cpm,roas,error_flag
5103,Allstate,Havas Media,Telecom,Tune-In Promotion,Programmatic Guaranteed,Upfront,Pending,295654.6,347176.87,2023-04-26,2023-07-08,2023-09-20,9,3,2023,CNN,Streaming (SVOD),Curb Your Enthusiasm,True Crime,TV-Y,Early Morning (5-9am),Mid-roll,Smart TV,15,No,NY,Tampa,25-34,Female,>$150K,Drama,Max Ad-Lite,No,29,6900386,6655245,96.45,72679,1.092,6726,9.254,72.3,87.7,10,468456.04,657718.73,70.389,1.404,
5436,Honda,Wavemaker,Automotive,Direct Response,Open Market,Sponsorship,In Flight,753852.76,772779.29,2024-05-06,2024-09-11,2024-06-21,6,2,2024,Discovery+,Display,True Detective,Action,TV-G,Late Night (11pm-2am),Mid-roll,Mobile,15,Yes,WA,San Francisco,45-54,Male,<$30K,Sports,Max Ad-Free,No,8,3389286,2660362,78.49,142305,5.349,15343,10.782,73.3,70.5,2,149857.93,228651.73,56.3299,1.526,
5861,Geico,Wavemaker,Insurance,App Install,Upfront,Scatter,Executed,1693182.55,1990188.37,2023-04-15,2023-07-03,2024-01-11,1,1,2024,CNN,Programmatic,Anderson Cooper 360,Action,TV-MA,Early Fringe (4-7pm),Mid-roll,Tablet,30,No,TX,New York,45-54,Male,$60-100K,Documentary,Linear (No Sub),Yes,9,1577203,1382419,87.65,37303,2.698,4428,11.87,47.1,84.5,5,70951.96,83294.39,51.3245,1.174,
5271,EA Sports,Zenith,Luxury Goods,Brand Awareness,Scatter,Programmatic,Executed,174344.62,203148.71,2023-01-24,2023-07-06,2023-07-28,7,3,2023,Bleacher Report,Display,Shark Week,News,TV-Y7,Overnight (2-5am),Post-roll,Desktop,30,No,NY,Dallas,35-44,Male,$60-100K,Comedy,Max Ad-Lite,Yes,6,5181890,4786694,92.37,27988,0.585,961,3.434,92.9,75.9,4,121273.29,187530.5,25.3355,1.546,
5107,Activision,Assembly,Healthcare,App Install,Open Market,Programmatic,Makegood,1028033.12,932045.84,2023-12-20,2024-01-04,2024-01-22,1,1,2024,Adult Swim,Programmatic,Shark Week,Kids,TV-MA,Morning (9am-12pm),Mid-roll,Smart TV,30,No,GA,Miami,35-44,Male,$60-100K,True Crime,Max Ad-Free,Yes,22,2554822,2283469,89.38,95579,4.186,10181,10.652,73.6,84.1,5,43031.74,61292.19,18.8449,1.424,
5072,Netflix,Mindshare,Retail,Reach,Open Market,Scatter,In Flight,1422383.36,1457080.73,2024-06-24,2024-08-11,2023-03-18,3,1,2023,TNT,Linear TV,White Lotus,Sports,TV-PG,Morning (9am-12pm),Native,Smart TV,30,No,WA,Atlanta,45-54,Male,$60-100K,Drama,Max Ad-Lite,No,8,399331,303570,76.02,6612,2.178,609,9.211,84.2,73.3,9,14383.06,20467.12,47.3797,1.423,
5701,Toyota,Canvas Worldwide,Finance,Direct Response,Programmatic Guaranteed,Scatter,Pending,491034.66,457128.44,2024-01-19,2024-04-05,2023-10-25,10,4,2023,Max,Programmatic,Barry,Action,TV-PG,Early Fringe (4-7pm),Pre-roll,Smart TV,60,No,NC,Los Angeles,35-44,Male,$100-150K,Animation,Linear (No Sub),Yes,3,460130,418821,91.02,9724,2.322,1072,11.024,48.1,86.6,4,17134.8,23870.32,40.912,1.393,Buffering
5021,Ford,Canvas Worldwide,Retail,Subscription Drive,Scatter,Scatter,In Flight,1860137.74,1626034.28,2023-06-01,2023-09-30,2024-01-28,1,1,2024,TBS,FAST,The Last of Us,Comedy,TV-MA,Early Fringe (4-7pm),Mid-roll,Smart TV,45,No,MA,Dallas,65+,Male,$60-100K,Documentary,Max Ultimate,No,17,1722453,1479135,85.87,71574,4.839,8563,11.964,68.8,65.6,2,99074.83,151546.17,66.9816,1.53,
5615,Hilton,Canvas Worldwide,Entertainment,Tune-In Promotion,Scatter,Upfront,Executed,1866302.97,1632947.93,2023-07-30,2023-08-20,2023-08-03,8,3,2023,Adult Swim,Programmatic,House of the Dragon,Kids,TV-G,Overnight (2-5am),Overlay,Desktop,15,No,GA,Miami,65+,Female,>$150K,Kids & Family,Max Ad-Lite,No,26,2892610,2892610,100.0,70906,2.451,4436,6.256,61.8,64.1,1,192788.12,264238.88,66.6485,1.371,
5122,FanDuel,Canvas Worldwide,Entertainment,Brand Awareness,Upfront,Upfront,In Flight,800051.41,717823.87,2024-06-17,2024-10-24,2024-06-06,6,2,2024,TNT,Streaming (SVOD),The Wire,Animation,TV-Y7,Prime Time (7-11pm),Native,Mobile,15,No,NC,Chicago,18-24,Male,$30-60K,Gaming,Max Ultimate,No,9,3129726,2645599,84.53,72513,2.741,6431,8.869,91.0,47.3,1,103644.52,154199.63,39.1762,1.488,
5467,Progressive Insurance,Dentsu,CPG,App Install,Open Market,Scatter,Makegood,668197.37,726270.5,2023-08-16,2023-08-30,2023-03-01,3,1,2023,Cartoon Network,Digital Video,Euphoria,Action,TV-14,Late Night (11pm-2am),Interactive,Tablet,45,No,CO,Dallas,25-34,Female,$100-150K,Documentary,Max Ad-Free,No,4,7955866,6800569,85.48,181255,2.665,14025,7.738,60.6,73.0,12,144723.59,200019.71,21.2811,1.382,Ad Block
5215,Marriott,Carat,Insurance,Lead Generation,Programmatic Guaranteed,Sponsorship,Executed,1168861.22,1050100.31,2024-03-20,2024-09-14,2023-12-25,12,4,2023,HBO,FAST,Barry,Sports,TV-G,Morning (9am-12pm),Interactive,Smart TV,30,Yes,GA,Dallas,55-64,Male,$100-150K,Gaming,Max Ad-Free,Yes,13,7020439,6248842,89.01,66201,1.059,9554,14.432,67.0,62.1,4,487295.95,806847.76,77.9818,1.656,
5331,Walmart,GroupM,Gaming,Tune-In Promotion,Programmatic Guaranteed,Programmatic,Executed,784766.18,870603.66,2024-04-23,2024-05-15,2024-07-22,7,3,2024,CNN,Social,Euphoria,Reality,TV-14,Overnight (2-5am),Pause Ad,Smart TV,30,No,MI,Denver,25-34,Female,$30-60K,True Crime,Max Ad-Lite,Yes,14,5690923,5069370,89.08,142423,2.809,1111,0.78,75.7,78.4,2,316280.02,460803.99,62.3904,1.457,
5459,Johnson & Johnson,Mindshare,Entertainment,Lead Generation,Programmatic Guaranteed,Direct IO,Executed,1166256.41,1151947.43,2024-04-18,2024-07-28,2023-12-02,12,4,2023,HBO,Streaming (SVOD),Teen Titans Go,Kids,TV-PG,Late Night (11pm-2am),Overlay,Smart TV,45,No,CO,New York,55-64,Male,$100-150K,Reality TV,Linear (No Sub),Yes,28,2331941,2196462,94.19,81715,3.72,2560,3.133,86.4,78.0,11,110484.45,131379.12,50.3011,1.189,
5088,State Farm,Dentsu,QSR,App Install,Scatter,Upfront,Pending,1063330.83,1113718.69,2023-05-23,2023-06-16,2024-11-07,11,4,2024,Max,Linear TV,Barry,Action,TV-PG,Overnight (2-5am),Pre-roll,Smart TV,30,No,CO,Seattle,25-34,Female,$30-60K,Documentary,Linear (No Sub),Yes,20,4279206,3689731,86.22,188930,5.12,7401,3.917,70.1,77.9,4,257483.08,323195.91,69.7837,1.255,
